index,name,line
130,Rick,"You guys, we got to hurry. I just got back from Walmart. They're selling Nintendo 3ds systems for $149.99 on sale, plus every time you buy one, you get a $50 gift card. Brings the total price down to $110 after tax. Now, listen, we can flip those sons of bitches for 230 bucks apiece easy! They're all limited-edition ""Zelda"" ones. Hurry! Hurry! Come with me! We can be rich, and we also all get to keep one and we can play Nintendo games! Nintendo, give me free stuff."
131,Rick,"Okay, yes, I definitely remember doing that, but also, I would never do that."
132,Pencilvester,"Don't overreact, Rick."
133,Jerry,"Sleepy Gary, a word?"
134,Sleepy Gary,"Sure, Jerry. Rick, keep a level head, okay? 'Cause I'll tell you a secret about Frankenstein -- He's actually Frankenstein's monster."
135,Jerry,"Sleepy Gary, m-my head is filled with memories of our friendship. I'm convinced that you're Beth's husband and I'm your friend, but if those memories can't be trusted, then..."
136,Sleepy Gary,"Jerry, just say it."
137,Jerry,"Sleepy Gary, how do we know I'm real?"
138,Sleepy Gary,"Jesus, Jerry. No, you're real. Hey, look at me. Now, I don't know which way is up out there, but I know us, and you're real, Jerry. Remember our vacation?"
139,(Jerry flashes back,Jerry and Gary are relaxing on a boat on the coast during a sunset.)
140,Gary,They're filming that new Star Wars movie down the coast. Should we check it out?
141,Jerry,Sure. Why not?
142,Gary,Maybe we'll see Chewbacca.
143,Jerry,I'd like that.
144,Jerry,What are we doing?
145,Gerry,I don't give a damn what else happens out there. You and I are going to survive this.
146,Jerry,"Okay. Hey, we agreed. Never in the house."
147,Frankenstein,"That's a cool watch there, Rick. Can I check it out?"
148,Rick,"Uh, no thank -- ( grunts ) Okay. Trying to"
149,Frankenstein,"Ah, you're paranoid, Rick. You've been paranoid since 'nam."
150,(Rick flashes back,Rick and Frankenstein are in Vietnam)
151,Rick,"So, what are you gonna"
152,Frankenstein,"Shi-i-i-i-t. I'mma bust a -- ( cut back to the present, Rick grunts )"
153,Rick,"No! Get out of my head, parasite! No! Drop it. Give me the gun, Frankenstein! ( indistinct shouting ) Give it back!"
154,All,Yeah! ( applause ) Frankenstein!
155,Rick,( breathing heavily ) Is anyone here even real? Am I the only real person on earth?!
156,Reverse Giraffe,"Maybe. Or maybe, just maybe, we're all real. You know me. I'm reverse giraffe. I have a short neck and legs. I went to college with Hamurai."
157,Hamurai,Hai!
158,Reverse Giraffe,I saved Ghost In A Jar's life in Vietnam.
159,Ghost in a Jar,Boo rah!
160,Reverse Giraffe,"And Beth, how many times have I been a shoulder for you to cry on?"
161,Beth,( sighs ) Too many.
162,Reverse Giraffe,"Okay, so maybe we're just all fake."
163,Mrs. Refrigerator,That don't make no sense!
164,Reverse,Giraffe
165,Rick,"Hey, don't blame me! I tried to shoot Summer 10 minutes ago!"
